ID,Name,BCDCCollection,BossDBURI,Description,ArchiveURL,Creator,DateCreated,ChannelType,DataType,Public,Contributors,License
s06_090nm_WM_a_,s06_090nm_WM_a_,ABC123,bossdb://lee2022/s06_090nm_WM_a_/s06_090nm_WM_a_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/z8d0vi3nfkyj4q4i,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s06_090nm_WM_a_1_,s06_090nm_WM_a_1_,ABC124,bossdb://lee2022/s06_090nm_WM_a_1_/s06_090nm_WM_a_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/z8d0vi3nfkyj4q4i,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s06_090nm_WM_a_2_,s06_090nm_WM_a_2_,ABC125,bossdb://lee2022/s06_090nm_WM_a_2_/s06_090nm_WM_a_2_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/z8d0vi3nfkyj4q4i,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s06_090nm_WM_a_3_,s06_090nm_WM_a_3_,ABC126,bossdb://lee2022/s06_090nm_WM_a_3_/s06_090nm_WM_a_3_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/z8d0vi3nfkyj4q4i,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s06_090nm_WM_a_4_,s06_090nm_WM_a_4_,ABC127,bossdb://lee2022/s06_090nm_WM_a_4_/s06_090nm_WM_a_4_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/z8d0vi3nfkyj4q4i,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s06_090nm_WM_b_,s06_090nm_WM_b_,ABC128,bossdb://lee2022/s06_090nm_WM_b_/s06_090nm_WM_b_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/z8d0vi3nfkyj4q4i,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_WM_107nm_bin2_2dist_,s05_WM_107nm_bin2_2dist_,ABC129,bossdb://lee2022/s05_WM_107nm_bin2_2dist_/s05_WM_107nm_bin2_2dist_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/z8d0vi3nfkyj4q4i,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_WM_107nm_bin2_2dist_1_,s05_WM_107nm_bin2_2dist_1_,ABC130,bossdb://lee2022/s05_WM_107nm_bin2_2dist_1_/s05_WM_107nm_bin2_2dist_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s06_top_fits05_090nm_1_,s06_top_fits05_090nm_1_,ABC131,bossdb://lee2022/s06_top_fits05_090nm_1_/s06_top_fits05_090nm_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_WM_090nm_,s18_WM_090nm_,ABC132,bossdb://lee2022/s18_WM_090nm_/s18_WM_090nm_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_WM_107nm_bin2_2dist_2_,s05_WM_107nm_bin2_2dist_2_,ABC133,bossdb://lee2022/s05_WM_107nm_bin2_2dist_2_/s05_WM_107nm_bin2_2dist_2_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s06_top_fits05b_090nm_,s06_top_fits05b_090nm_,ABC134,bossdb://lee2022/s06_top_fits05b_090nm_/s06_top_fits05b_090nm_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s06_top_fits05b_090nm_1_,s06_top_fits05b_090nm_1_,ABC135,bossdb://lee2022/s06_top_fits05b_090nm_1_/s06_top_fits05b_090nm_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,Unit8,False,Pending,CC-BY 4.0
s18_WM_090nm_1_,s18_WM_090nm_1_,ABC136,bossdb://lee2022/s18_WM_090nm_1_/s18_WM_090nm_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_WM_160nm_2dist_,s05_WM_160nm_2dist_,ABC137,bossdb://lee2022/s05_WM_160nm_2dist_/s05_WM_160nm_2dist_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s06_top_fits05b_090nm_2_,s06_top_fits05b_090nm_2_,ABC138,bossdb://lee2022/s06_top_fits05b_090nm_2_/s06_top_fits05b_090nm_2_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_WM_160nm_2dist_1_,s05_WM_160nm_2dist_1_,ABC139,bossdb://lee2022/s05_WM_160nm_2dist_1_/s05_WM_160nm_2dist_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_WM_090nm_2_,s18_WM_090nm_2_,ABC140,bossdb://lee2022/s18_WM_090nm_2_/s18_WM_090nm_2_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s06_top_fits05b_090nm_3_,s06_top_fits05b_090nm_3_,ABC141,bossdb://lee2022/s06_top_fits05b_090nm_3_/s06_top_fits05b_090nm_3_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_WM_160nm_2dist_2_,s05_WM_160nm_2dist_2_,ABC142,bossdb://lee2022/s05_WM_160nm_2dist_2_/s05_WM_160nm_2dist_2_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s06_top_fits05b_090nm_4_,s06_top_fits05b_090nm_4_,ABC143,bossdb://lee2022/s06_top_fits05b_090nm_4_/s06_top_fits05b_090nm_4_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,"CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0
CC-BY 4.0"
s18_WM_090nm_3_,s18_WM_090nm_3_,ABC144,bossdb://lee2022/s18_WM_090nm_3_/s18_WM_090nm_3_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_WM_fits06_090nm_,s05_WM_fits06_090nm_,ABC145,bossdb://lee2022/s05_WM_fits06_090nm_/s05_WM_fits06_090nm_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_WM_090nm_4_,s18_WM_090nm_4_,ABC146,bossdb://lee2022/s18_WM_090nm_4_/s18_WM_090nm_4_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
