ID,Experiment Name,BCDCCollection,BossDBURI,SampleType,SpeciesCommonName,SpeciesTaxonomyID,Genotype,SubjectID,Age,Sex,Modality,Technique,Anntomical Structure,ParentSpecimenID,ParentSpecimenType,SubspecimenType,SubspecimenQuantity,Investigator,Description,BICCNDeliveryQuarter,Protocol,Public,Creator,Contributors,DataCreated,DateModified,License,ImageLocation,CoordinateFrame,Version,Channels
s06_090nm_WM_a_,s06_090nm_WM_a_,AAA123,bossdb://lee2022/s06_090nm_WM_a_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA123,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA120,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s06_090nm_WM_a_1_,s06_090nm_WM_a_1_,AAA124,bossdb://lee2022/s06_090nm_WM_a_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA124,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA121,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s06_090nm_WM_a_2_,s06_090nm_WM_a_2_,AAA125,bossdb://lee2022/s06_090nm_WM_a_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA125,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA122,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s06_090nm_WM_a_3_,s06_090nm_WM_a_3_,AAA126,bossdb://lee2022/s06_090nm_WM_a_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA126,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA123,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s06_090nm_WM_a_4_,s06_090nm_WM_a_4_,AAA127,bossdb://lee2022/s06_090nm_WM_a_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA127,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA124,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s06_090nm_WM_b_,s06_090nm_WM_b_,AAA128,bossdb://lee2022/s06_090nm_WM_b_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA128,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA125,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_WM_107nm_bin2_2dist_,s05_WM_107nm_bin2_2dist_,AAA129,bossdb://lee2022/s05_WM_107nm_bin2_2dist_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA129,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA126,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_WM_107nm_bin2_2dist_1_,s05_WM_107nm_bin2_2dist_1_,AAA130,bossdb://lee2022/s05_WM_107nm_bin2_2dist_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA130,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA127,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s06_top_fits05_090nm_1_,s06_top_fits05_090nm_1_,AAA131,bossdb://lee2022/s06_top_fits05_090nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA131,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA128,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_WM_090nm_,s18_WM_090nm_,AAA132,bossdb://lee2022/s18_WM_090nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA132,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA129,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
